id,text,user_id,user_screen_name,user_name
1305385387360047104,"I was just talking to my long lost friend from Iran, and I wanted to video call her and she said she can’t. She has corona 😫",26544265,stickyshiny,clueless
1305385357416882177,"#corona Covid-19 made in Wuhan lab controlled by China govt’, claims virologist, offers evidence via @htTweets https://t.co/SS3btaL9eM",52609165,ash6789,Ashish singh
1305385355030470656,"Our podcasts can help you navigate the troubled waters ahead. We are here for you, to help you make it through the… https://t.co/7EQE8DsuWb",289118612,TomthunkitsMind,Tomthunkit™
1305385325645066241,"@RanaAyyub Rana, you just came out of corona bed. Take good rest now.",162327125,ganapathyhegde,ganapathy hegde
1305385308196868099,I bet my barber think I found someone new. Sorry man I can’t get no corona cutz yet. Ain’t nobody im tryna impress. Im home,312198761,Yazooof,🤴🏿 Yusuf
1305385268527149056,I been social distance b4 the corona,2466173848,rileyghan,Riley Ghan
1305385250286194689,i've got corona symtoms so im not going to school for idk how long.,1155734123388051456,beangraal,code bean #ad
1305385248872476672,"""नाॅटी""
https://t.co/t38Ay3dljg

https://t.co/s8I07p8WnQ
Dear doctors, medical students, FMGs, nurses, paramedics &amp;… https://t.co/qPDMRPw9ev",3064067209,RKMittal9,NEEMGI #letfmgserve
1305385234968596480,@GOPChairwoman Should we change the spelling of corona virus to coronna virus in honor of you?,2432594924,ALReproRightsAd,Alabama Reproductive Rights Advocates
1305385214156386304,"@akinalabi Seems people have found a cure for corona. In major part of Abuja, if you walking around with a mask on… https://t.co/NSpSD73x5g",4052602997,krativity,Omiachi J
1305385201128943616,"where tf is that corona vaccine, this doesn’t feel good, i don’t wanna go out from neck pain and tasteless buds.",1051277292729769985,luvwithboi,ashie ⁷ 🧚🏻‍♀️
1305385181000368128,"@Piet25051963 @ywcdi7 @GoTurkey Everybody knows, they are being published on the media and internet. They are mediu… https://t.co/yhtpGAwwpe",971816468,OzanKemalOzan,OzanKemal
1305385180996284416,i know corona wouldn’t let me hang out with them but i want friends to hang out with :(,1002993874283966464,bebitojk,💕 ⁷
1305385180702547968,@nistula Athawale saheb is first person who aware to peoples about corona n seriousness of corona. His talking beha… https://t.co/vkuXTHffXv,1136587463852322816,Amol15779474,Amol
1305385172720693249,"COVID INDIA Today [Approx]:

Top Non BJP States:

MH: 10.3L
DL: 2L
TN: 5L
WB: 2L
RJ: 1L
KL: 1L

Total Population: 3… https://t.co/lQPYCCf6Xv",193783616,dineshmittal3,Dinesh Mittal
1305385147857072128,@GOPChairwoman What the hell do you expect a PRIVATE citizen to do about the corona virus? Your damned president ha… https://t.co/uMuEv5MsN4,4751447832,KtCakes66,KtCakes
1305385124628840448,"@oyevivekk COVID ""INDIA"" TODAY [Approx]:

Govt: BJP (NDA)
Leader: Narendra Modi

Total cases: 48L+
Highest daily ca… https://t.co/5fbq9LJ3mf",1272162522653585409,CongressmanAK,Aneesh 🇮🇳
1305385111014187008,"""नाॅटी""
https://t.co/4xS106Shat

https://t.co/MoqYprQMdE
Dear doctors, medical students, FMGs, nurses, paramedics &amp;… https://t.co/XQVWhSQqjq",1263821029408935936,PBIMA2,PBIMA #letfmgserve
1305385099962261504,I fit count how many people dey wear nose mask for this Utako Park shah. As if them cancel corona for this side.,964582472003371010,TheAjifa,Kenyodé
1305385097038901250,"Politicians in Haryana make mockery of corona guidelines while holding electoral rallies
https://t.co/KkxsGW9Kdt",1252172990793445376,DailyGuardian1,The Daily Guardian
